batch,item,image,answer_text,prediction,gold,correct,model
batch1,item_00000,run_001_1.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00001,run_004.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00002,run_006_1.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00003,run_007.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00004,run_008.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00005,run_009.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00006,run_010.png,$\boxed{2}$,2,4,False,Gemini 2.5 Flash
batch1,item_00007,run_011.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00008,run_011_2.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00009,run_012.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00010,run_012_1.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00011,run_013.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00012,run_014.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00013,run_015.png,$\boxed{4}$,4,2,False,Gemini 2.5 Flash
batch1,item_00014,run_016.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00015,run_016_1.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00016,run_017.png,$\boxed{2}$,2,3,False,Gemini 2.5 Flash
batch1,item_00017,run_018.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00018,run_019.png,$\boxed{4}$,4,4,True,Gemini 2.5 Flash
batch1,item_00019,run_020.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00020,run_021.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00021,run_022.png,$\boxed{3}$,3,4,False,Gemini 2.5 Flash
batch1,item_00022,run_023.png,$\boxed{3}$,3,4,False,Gemini 2.5 Flash
batch1,item_00023,run_023_1.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00024,run_024_1.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00025,run_025.png,$\boxed{2}$,2,4,False,Gemini 2.5 Flash
batch1,item_00026,run_026.png,$\boxed{3}$,3,4,False,Gemini 2.5 Flash
batch1,item_00027,run_027.png,$\boxed{4}$,4,2,False,Gemini 2.5 Flash
batch1,item_00028,run_028.png,$\boxed{4}$,4,4,True,Gemini 2.5 Flash
batch1,item_00029,run_029.png,$\boxed{1}$,1,2,False,Gemini 2.5 Flash
batch1,item_00030,run_030.png,$\boxed{4}$,4,2,False,Gemini 2.5 Flash
batch1,item_00031,run_031.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00032,run_032.png,$\boxed{1}$,1,2,False,Gemini 2.5 Flash
batch1,item_00033,run_033_1.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00034,run_034.png,$\boxed{3}$,3,4,False,Gemini 2.5 Flash
batch1,item_00035,run_035.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00036,run_036_1.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00037,run_037.png,$\boxed{4}$,4,4,True,Gemini 2.5 Flash
batch1,item_00038,run_038.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00039,run_039.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00040,run_040.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00041,run_042.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00042,run_042_1.png,$\boxed{4}$,4,3,False,Gemini 2.5 Flash
batch1,item_00043,run_043.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00044,run_044.png,$\boxed{3}$,3,1,False,Gemini 2.5 Flash
batch1,item_00045,run_045.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00046,run_045_1.png,$\boxed{4}$,4,3,False,Gemini 2.5 Flash
batch1,item_00047,run_046.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00048,run_047.png,$\boxed{1}$,1,1,True,Gemini 2.5 Flash
batch1,item_00049,run_047_1.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00050,run_048.png,$\boxed{4}$,4,3,False,Gemini 2.5 Flash
batch1,item_00051,run_049.png,$\boxed{2}$,2,1,False,Gemini 2.5 Flash
batch1,item_00052,run_050.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00053,run_050_1.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00054,run_051.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00055,run_052.png,$\boxed{4}$,4,4,True,Gemini 2.5 Flash
batch1,item_00056,run_054.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00057,run_055.png,$\boxed{3}$,3,3,True,Gemini 2.5 Flash
batch1,item_00058,run_056.png,$\boxed{2}$,2,2,True,Gemini 2.5 Flash
batch1,item_00059,run_058.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00060,run_061.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00061,run_062.png,$\boxed{4}$,4,3,False,Gemini 2.5 Flash
batch1,item_00062,run_063.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
batch1,item_00063,run_064.png,$\boxed{3}$,3,4,False,Gemini 2.5 Flash
batch1,item_00064,run_065.png,$\boxed{3}$,3,2,False,Gemini 2.5 Flash
