image,prediction,gold,correct,item_file
run_b2_001.png,3,4,False,item_00000.json
run_b2_002.png,2,2,True,item_00001.json
run_b2_003.png,2,3,False,item_00002.json
run_b2_004.png,3,3,True,item_00003.json
run_b2_005.png,2,2,True,item_00004.json
run_b2_007.png,1,1,True,item_00005.json
run_b2_008.png,4,3,False,item_00006.json
run_b2_009.png,2,3,False,item_00007.json
run_b2_010.png,1,1,True,item_00008.json
run_b2_011.png,2,2,True,item_00009.json
run_b2_012.png,2,2,True,item_00010.json
run_b2_013.png,3,4,False,item_00011.json
run_b2_014.png,3,3,True,item_00012.json
run_b2_015.png,3,3,True,item_00013.json
run_b2_018.png,2,2,True,item_00014.json
run_b2_019.png,3,4,False,item_00015.json
run_b2_021.png,2,2,True,item_00016.json
run_b2_022.png,3,4,False,item_00017.json
run_b2_023.png,1,2,False,item_00018.json
run_b2_024.png,2,2,True,item_00019.json
run_b2_025.png,4,4,True,item_00020.json
run_b2_026.png,1,2,False,item_00021.json
run_b2_028.png,3,4,False,item_00022.json
run_b2_029.png,3,3,True,item_00023.json
run_b2_030.png,3,2,False,item_00024.json
run_b2_031.png,1,1,True,item_00025.json
run_b2_032.png,2,2,True,item_00026.json
run_b2_033.png,3,2,False,item_00027.json
run_b2_034.png,1,1,True,item_00028.json
run_b2_036.png,3,3,True,item_00029.json
run_b2_037.png,3,4,False,item_00030.json
run_b2_038.png,3,2,False,item_00031.json
run_b2_039.png,3,3,True,item_00032.json
run_b2_040.png,1,1,True,item_00033.json
run_b2_041.png,4,3,False,item_00034.json
run_b2_042.png,2,2,True,item_00035.json
run_b2_043.png,4,4,True,item_00036.json
run_b2_044.png,2,2,True,item_00037.json
run_b2_045.png,2,3,False,item_00038.json
run_b2_046.png,3,3,True,item_00039.json
run_b2_047.png,1,2,False,item_00040.json
run_b2_048.png,4,3,False,item_00041.json
run_b2_049.png,3,4,False,item_00042.json
run_b2_050.png,2,2,True,item_00043.json
run_b2_051.png,2,3,False,item_00044.json
run_b2_052.png,4,4,True,item_00045.json
run_b2_053.png,3,4,False,item_00046.json
run_b2_054.png,4,3,False,item_00047.json
run_b2_056.png,2,2,True,item_00048.json
run_b2_057.png,3,2,False,item_00049.json
run_b2_058.png,3,4,False,item_00050.json
run_b2_059.png,3,3,True,item_00051.json
run_b2_060.png,2,3,False,item_00052.json
run_b2_061.png,3,3,True,item_00053.json
run_b2_062.png,2,2,True,item_00054.json
run_b2_065.png,3,3,True,item_00055.json
run_b2_066.png,3,3,True,item_00056.json
run_b2_067.png,4,4,True,item_00057.json
run_b2_069.png,2,2,True,item_00058.json
run_b2_070.png,3,3,True,item_00059.json
run_b2_071.png,2,2,True,item_00060.json
run_b2_073.png,4,4,True,item_00061.json
run_b2_074.png,2,2,True,item_00062.json
run_b2_075.png,2,3,False,item_00063.json
run_b2_078.png,3,2,False,item_00064.json
run_b2_079.png,3,3,True,item_00065.json
run_b2_080.png,2,2,True,item_00066.json
run_b2_082.png,4,4,True,item_00067.json
run_b2_083.png,3,3,True,item_00068.json
run_b2_084.png,2,2,True,item_00069.json
run_b2_086.png,4,3,False,item_00070.json
run_b2_087.png,2,3,False,item_00071.json
run_b2_088.png,2,3,False,item_00072.json
run_b2_090.png,3,3,True,item_00073.json
run_b2_091.png,4,4,True,item_00074.json
run_b2_092.png,3,3,True,item_00075.json
run_b2_096.png,2,2,True,item_00076.json
run_b2_097.png,3,2,False,item_00077.json
run_b2_098.png,2,2,True,item_00078.json
run_b2_099.png,3,2,False,item_00079.json
run_b2_100.png,2,1,False,item_00080.json
run_b2_101.png,2,2,True,item_00081.json
run_b2_102.png,2,2,True,item_00082.json
run_b2_103.png,1,1,True,item_00083.json
run_b2_104.png,2,2,True,item_00084.json
run_b2_107.png,3,3,True,item_00085.json
run_b2_108.png,2,2,True,item_00086.json
run_b2_109.png,1,1,True,item_00087.json
run_b2_110.png,1,2,False,item_00088.json
run_b2_111.png,3,3,True,item_00089.json
run_b2_113.png,3,3,True,item_00091.json
run_b2_114.png,3,3,True,item_00092.json
run_b2_115.png,1,1,True,item_00093.json
run_b2_116.png,3,3,True,item_00094.json
run_b2_117.png,2,3,False,item_00095.json
run_b2_118.png,4,2,False,item_00096.json
run_b2_119.png,3,3,True,item_00097.json
run_b2_120.png,3,3,True,item_00098.json
