image,type,model,prediction,gold,num_lines,correct
run_001_1.png,direct_vqa,qwen8b,,1,1,False
run_004.png,direct_vqa,qwen8b,,3,1,False
run_006_1.png,direct_vqa,qwen8b,3.0,2,3,False
run_007.png,direct_vqa,qwen8b,3.0,1,1,False
run_008.png,direct_vqa,qwen8b,3.0,3,2,True
run_009.png,direct_vqa,qwen8b,3.0,2,3,False
run_010.png,direct_vqa,qwen8b,,4,1,False
run_011.png,direct_vqa,qwen8b,,3,2,False
run_011_2.png,direct_vqa,qwen8b,2.0,2,2,True
run_012.png,direct_vqa,qwen8b,2.0,3,3,False
run_012_1.png,direct_vqa,qwen8b,3.0,3,3,True
run_013.png,direct_vqa,qwen8b,3.0,1,1,False
run_014.png,direct_vqa,qwen8b,2.0,2,2,True
run_015.png,direct_vqa,qwen8b,2.0,2,3,True
run_016.png,direct_vqa,qwen8b,2.0,1,1,False
run_016_1.png,direct_vqa,qwen8b,3.0,1,1,False
run_017.png,direct_vqa,qwen8b,2.0,3,2,False
run_018.png,direct_vqa,qwen8b,2.0,2,3,True
run_019.png,direct_vqa,qwen8b,2.0,4,1,False
run_020.png,direct_vqa,qwen8b,1.0,2,2,False
run_021.png,direct_vqa,qwen8b,,3,3,False
run_022.png,direct_vqa,qwen8b,4.0,4,1,True
run_023.png,direct_vqa,qwen8b,3.0,4,2,False
run_023_1.png,direct_vqa,qwen8b,2.0,3,2,False
run_024_1.png,direct_vqa,qwen8b,2.0,2,3,True
run_025.png,direct_vqa,qwen8b,,4,1,False
run_026.png,direct_vqa,qwen8b,4.0,4,2,True
run_027.png,direct_vqa,qwen8b,2.0,2,3,True
run_028.png,direct_vqa,qwen8b,3.0,4,1,False
run_029.png,direct_vqa,qwen8b,2.0,2,2,True
run_030.png,direct_vqa,qwen8b,2.0,2,3,True
run_031.png,direct_vqa,qwen8b,3.0,3,1,True
run_032.png,direct_vqa,qwen8b,2.0,2,2,True
run_033_1.png,direct_vqa,qwen8b,2.0,2,3,True
run_034.png,direct_vqa,qwen8b,4.0,4,1,True
run_035.png,direct_vqa,qwen8b,4.0,3,2,False
run_036_1.png,direct_vqa,qwen8b,3.0,2,3,False
run_037.png,direct_vqa,qwen8b,2.0,4,1,False
run_038.png,direct_vqa,qwen8b,2.0,2,2,True
run_039.png,direct_vqa,qwen8b,3.0,3,3,True
run_040.png,direct_vqa,qwen8b,3.0,3,1,True
run_042.png,direct_vqa,qwen8b,2.0,3,3,False
run_042_1.png,direct_vqa,qwen8b,2.0,3,3,False
run_043.png,direct_vqa,qwen8b,,1,1,False
run_044.png,direct_vqa,qwen8b,2.0,1,2,False
run_045.png,direct_vqa,qwen8b,2.0,2,3,True
run_045_1.png,direct_vqa,qwen8b,4.0,3,3,False
run_046.png,direct_vqa,qwen8b,2.0,3,1,False
run_047.png,direct_vqa,qwen8b,3.0,1,2,False
run_047_1.png,direct_vqa,qwen8b,2.0,2,2,True
run_048.png,direct_vqa,qwen8b,3.0,3,3,True
run_049.png,direct_vqa,qwen8b,3.0,1,1,False
run_050.png,direct_vqa,qwen8b,2.0,3,2,False
run_050_1.png,direct_vqa,qwen8b,4.0,3,2,False
run_051.png,direct_vqa,qwen8b,,2,3,False
run_052.png,direct_vqa,qwen8b,3.0,4,1,False
run_054.png,direct_vqa,qwen8b,,3,3,False
