image,type,reasoning,prediction,gold,num_lines,correct
run_001_1.png,direct_vqa,low,1.0,1,1,True
run_004.png,direct_vqa,low,4.0,3,1,False
run_006_1.png,direct_vqa,low,2.0,2,3,True
run_007.png,direct_vqa,low,2.0,1,1,False
run_008.png,direct_vqa,low,3.0,3,2,True
run_009.png,direct_vqa,low,2.0,2,3,True
run_010.png,direct_vqa,low,3.0,4,1,False
run_011.png,direct_vqa,low,3.0,3,2,True
run_011_2.png,direct_vqa,low,2.0,2,2,True
run_012.png,direct_vqa,low,2.0,3,3,False
run_012_1.png,direct_vqa,low,4.0,3,3,False
run_013.png,direct_vqa,low,1.0,1,1,True
run_014.png,direct_vqa,low,1.0,2,2,False
run_015.png,direct_vqa,low,2.0,2,3,True
run_016.png,direct_vqa,low,1.0,1,1,True
run_016_1.png,direct_vqa,low,2.0,1,1,False
run_017.png,direct_vqa,low,3.0,3,2,True
run_018.png,direct_vqa,low,2.0,2,3,True
run_019.png,direct_vqa,low,3.0,4,1,False
run_020.png,direct_vqa,low,2.0,2,2,True
run_021.png,direct_vqa,low,4.0,3,3,False
run_022.png,direct_vqa,low,3.0,4,1,False
run_023.png,direct_vqa,low,3.0,4,2,False
run_023_1.png,direct_vqa,low,4.0,3,2,False
run_024_1.png,direct_vqa,low,3.0,2,3,False
run_025.png,direct_vqa,low,3.0,4,1,False
run_026.png,direct_vqa,low,3.0,4,2,False
run_027.png,direct_vqa,low,3.0,2,3,False
run_028.png,direct_vqa,low,4.0,4,1,True
run_029.png,direct_vqa,low,2.0,2,2,True
run_030.png,direct_vqa,low,3.0,2,3,False
run_031.png,direct_vqa,low,3.0,3,1,True
run_032.png,direct_vqa,low,1.0,2,2,False
run_033_1.png,direct_vqa,low,3.0,2,3,False
run_034.png,direct_vqa,low,3.0,4,1,False
run_035.png,direct_vqa,low,3.0,3,2,True
run_036_1.png,direct_vqa,low,2.0,2,3,True
run_037.png,direct_vqa,low,4.0,4,1,True
run_038.png,direct_vqa,low,2.0,2,2,True
run_039.png,direct_vqa,low,4.0,3,3,False
run_040.png,direct_vqa,low,3.0,3,1,True
run_042.png,direct_vqa,low,3.0,3,3,True
run_042_1.png,direct_vqa,low,3.0,3,3,True
run_043.png,direct_vqa,low,2.0,1,1,False
run_044.png,direct_vqa,low,2.0,1,2,False
run_045.png,direct_vqa,low,2.0,2,3,True
run_045_1.png,direct_vqa,low,3.0,3,3,True
run_046.png,direct_vqa,low,3.0,3,1,True
run_047.png,direct_vqa,low,2.0,1,2,False
run_047_1.png,direct_vqa,low,2.0,2,2,True
run_048.png,direct_vqa,low,2.0,3,3,False
run_049.png,direct_vqa,low,2.0,1,1,False
run_050.png,direct_vqa,low,3.0,3,2,True
run_050_1.png,direct_vqa,low,3.0,3,2,True
run_051.png,direct_vqa,low,2.0,2,3,True
run_052.png,direct_vqa,low,4.0,4,1,True
run_054.png,direct_vqa,low,3.0,3,3,True
run_055.png,direct_vqa,low,3.0,3,1,True
run_056.png,direct_vqa,low,2.0,2,2,True
run_058.png,direct_vqa,low,2.0,2,1,True
run_061.png,direct_vqa,low,4.0,2,1,False
run_062.png,direct_vqa,low,2.0,3,2,False
run_063.png,direct_vqa,low,3.0,2,3,False
run_064.png,direct_vqa,low,4.0,4,1,True
run_065.png,direct_vqa,low,1.0,2,2,False
run_066.png,direct_vqa,low,3.0,3,3,True
run_068.png,direct_vqa,low,4.0,3,2,False
run_069.png,direct_vqa,low,3.0,3,3,True
run_070.png,direct_vqa,low,4.0,4,1,True
run_071.png,direct_vqa,low,3.0,3,2,True
run_072.png,direct_vqa,low,3.0,3,3,True
run_073.png,direct_vqa,low,2.0,1,1,False
run_074.png,direct_vqa,low,2.0,2,2,True
run_075.png,direct_vqa,low,3.0,3,3,True
run_076.png,direct_vqa,low,1.0,1,1,True
run_078.png,direct_vqa,low,2.0,2,3,True
run_079.png,direct_vqa,low,1.0,1,1,True
run_080.png,direct_vqa,low,2.0,2,2,True
run_082.png,direct_vqa,low,2.0,1,1,False
run_084.png,direct_vqa,low,2.0,2,3,True
run_085.png,direct_vqa,low,3.0,3,1,True
run_086.png,direct_vqa,low,4.0,3,2,False
run_087.png,direct_vqa,low,3.0,2,3,False
run_088.png,direct_vqa,low,4.0,4,1,True
run_089.png,direct_vqa,low,2.0,2,2,True
run_090.png,direct_vqa,low,2.0,3,3,False
run_092.png,direct_vqa,low,3.0,4,2,False
run_093.png,direct_vqa,low,2.0,2,3,True
run_094.png,direct_vqa,low,3.0,3,1,True
run_095.png,direct_vqa,low,3.0,3,2,True
run_096.png,direct_vqa,low,3.0,3,3,True
run_097.png,direct_vqa,low,2.0,1,1,False
run_098.png,direct_vqa,low,3.0,3,2,True
run_099.png,direct_vqa,low,3.0,3,3,True
run_103.png,direct_vqa,low,3.0,2,1,False
run_107.png,direct_vqa,low,2.0,2,2,True
run_110.png,direct_vqa,low,3.0,3,2,True
run_113.png,direct_vqa,low,2.0,2,2,True
run_114.png,direct_vqa,low,1.0,2,3,False
run_001_1.png,direct_vqa,high,1.0,1,1,True
run_004.png,direct_vqa,high,3.0,3,1,True
run_006_1.png,direct_vqa,high,2.0,2,3,True
run_007.png,direct_vqa,high,2.0,1,1,False
run_008.png,direct_vqa,high,3.0,3,2,True
run_009.png,direct_vqa,high,2.0,2,3,True
run_010.png,direct_vqa,high,3.0,4,1,False
run_011.png,direct_vqa,high,3.0,3,2,True
run_011_2.png,direct_vqa,high,2.0,2,2,True
run_012.png,direct_vqa,high,3.0,3,3,True
run_012_1.png,direct_vqa,high,3.0,3,3,True
run_013.png,direct_vqa,high,1.0,1,1,True
run_014.png,direct_vqa,high,2.0,2,2,True
run_015.png,direct_vqa,high,2.0,2,3,True
run_016.png,direct_vqa,high,1.0,1,1,True
run_016_1.png,direct_vqa,high,1.0,1,1,True
run_017.png,direct_vqa,high,3.0,3,2,True
run_018.png,direct_vqa,high,2.0,2,3,True
run_019.png,direct_vqa,high,4.0,4,1,True
run_020.png,direct_vqa,high,2.0,2,2,True
run_021.png,direct_vqa,high,3.0,3,3,True
run_022.png,direct_vqa,high,3.0,4,1,False
run_023.png,direct_vqa,high,3.0,4,2,False
run_023_1.png,direct_vqa,high,4.0,3,2,False
run_024_1.png,direct_vqa,high,3.0,2,3,False
run_025.png,direct_vqa,high,3.0,4,1,False
run_026.png,direct_vqa,high,3.0,4,2,False
run_027.png,direct_vqa,high,2.0,2,3,True
run_028.png,direct_vqa,high,4.0,4,1,True
run_029.png,direct_vqa,high,2.0,2,2,True
run_030.png,direct_vqa,high,2.0,2,3,True
run_031.png,direct_vqa,high,3.0,3,1,True
run_032.png,direct_vqa,high,2.0,2,2,True
run_033_1.png,direct_vqa,high,3.0,2,3,False
run_034.png,direct_vqa,high,3.0,4,1,False
run_035.png,direct_vqa,high,3.0,3,2,True
run_036_1.png,direct_vqa,high,2.0,2,3,True
run_037.png,direct_vqa,high,4.0,4,1,True
run_038.png,direct_vqa,high,2.0,2,2,True
run_039.png,direct_vqa,high,3.0,3,3,True
run_040.png,direct_vqa,high,3.0,3,1,True
run_042.png,direct_vqa,high,3.0,3,3,True
run_042_1.png,direct_vqa,high,3.0,3,3,True
run_043.png,direct_vqa,high,1.0,1,1,True
run_044.png,direct_vqa,high,2.0,1,2,False
run_045.png,direct_vqa,high,3.0,2,3,False
run_045_1.png,direct_vqa,high,3.0,3,3,True
run_046.png,direct_vqa,high,3.0,3,1,True
run_047.png,direct_vqa,high,2.0,1,2,False
run_047_1.png,direct_vqa,high,2.0,2,2,True
run_048.png,direct_vqa,high,3.0,3,3,True
run_049.png,direct_vqa,high,1.0,1,1,True
run_050.png,direct_vqa,high,4.0,3,2,False
run_050_1.png,direct_vqa,high,3.0,3,2,True
run_051.png,direct_vqa,high,2.0,2,3,True
run_052.png,direct_vqa,high,4.0,4,1,True
run_054.png,direct_vqa,high,3.0,3,3,True
run_055.png,direct_vqa,high,3.0,3,1,True
run_056.png,direct_vqa,high,2.0,2,2,True
run_058.png,direct_vqa,high,3.0,2,1,False
run_061.png,direct_vqa,high,3.0,2,1,False
run_062.png,direct_vqa,high,3.0,3,2,True
run_063.png,direct_vqa,high,3.0,2,3,False
run_064.png,direct_vqa,high,4.0,4,1,True
run_065.png,direct_vqa,high,2.0,2,2,True
run_066.png,direct_vqa,high,3.0,3,3,True
run_068.png,direct_vqa,high,4.0,3,2,False
run_069.png,direct_vqa,high,4.0,3,3,False
run_070.png,direct_vqa,high,4.0,4,1,True
run_071.png,direct_vqa,high,3.0,3,2,True
run_072.png,direct_vqa,high,3.0,3,3,True
run_073.png,direct_vqa,high,1.0,1,1,True
run_074.png,direct_vqa,high,2.0,2,2,True
run_075.png,direct_vqa,high,2.0,3,3,False
run_076.png,direct_vqa,high,1.0,1,1,True
run_078.png,direct_vqa,high,2.0,2,3,True
run_079.png,direct_vqa,high,1.0,1,1,True
run_080.png,direct_vqa,high,2.0,2,2,True
run_082.png,direct_vqa,high,1.0,1,1,True
run_084.png,direct_vqa,high,3.0,2,3,False
run_085.png,direct_vqa,high,3.0,3,1,True
run_086.png,direct_vqa,high,3.0,3,2,True
run_087.png,direct_vqa,high,3.0,2,3,False
run_088.png,direct_vqa,high,4.0,4,1,True
run_089.png,direct_vqa,high,2.0,2,2,True
run_090.png,direct_vqa,high,3.0,3,3,True
run_092.png,direct_vqa,high,3.0,4,2,False
run_093.png,direct_vqa,high,3.0,2,3,False
run_094.png,direct_vqa,high,2.0,3,1,False
