name,num_points,width,height,points,uuid,image_path,type,variant,id,image,order,gt_image,task,description
Fire-Silhouette,30,1.0,1.0,"[{'x': 0.12938815422870492, 'y': 0.4206259562729467, 'order': 1}, {'x': 0.13399312735730926, 'y': 0.30372553751633014, 'order': 2}, {'x': 0.17879693382288359, 'y': 0.196404417229906, 'order': 3}, {'x': 0.263206941087937, 'y': 0.1159483231597869, 'order': 4}, {'x': 0.369333213956903, 'y': 0.06715383974585909, 'order': 5}, {'x': 0.4853091324919572, 'y': 0.05014862372187382, 'order': 6}, {'x': 0.6021943032977832, 'y': 0.05957751873179664, 'order': 7}, {'x': 0.7126857770374673, 'y': 0.09708214504992813, 'order': 8}, {'x': 0.8056603047293324, 'y': 0.16715925295683096, 'order': 9}, {'x': 0.8624635198356858, 'y': 0.26870784825415883, 'order': 10}, {'x': 0.8701951542554331, 'y': 0.3848677717228228, 'order': 11}, {'x': 0.8375118543957205, 'y': 0.4973074042510099, 'order': 12}, {'x': 0.8153302701240832, 'y': 0.38347211275376, 'order': 13}, {'x': 0.7169114672695734, 'y': 0.3518159166084559, 'order': 14}, {'x': 0.6856939299144603, 'y': 0.45339460035417817, 'order': 15}, {'x': 0.7115922390627911, 'y': 0.5681490659819608, 'order': 16}, {'x': 0.6995868069780421, 'y': 0.6827638854362035, 'order': 17}, {'x': 0.6549125633182107, 'y': 0.6867182219059194, 'order': 18}, {'x': 0.5803928422919906, 'y': 0.6062974107468829, 'order': 19}, {'x': 0.47201825872661257, 'y': 0.638270374584226, 'order': 20}, {'x': 0.4232122365136207, 'y': 0.7417979293793989, 'order': 21}, {'x': 0.4256727809928312, 'y': 0.8584634015941001, 'order': 22}, {'x': 0.43558918454439516, 'y': 0.9359778136017712, 'order': 23}, {'x': 0.35168048722896084, 'y': 0.8550138629205046, 'order': 24}, {'x': 0.3162189875875309, 'y': 0.7446318355721456, 'order': 25}, {'x': 0.3245962835090698, 'y': 0.6281453701501067, 'order': 26}, {'x': 0.33967424991470685, 'y': 0.5117564259437237, 'order': 27}, {'x': 0.2669968597304247, 'y': 0.43686881790256904, 'order': 28}, {'x': 0.1919474292509544, 'y': 0.5092831441040258, 'order': 29}, {'x': 0.16219895608705945, 'y': 0.5327136823438823, 'order': 30}]",f33b2e50-6540-418e-bc06-ec21e2b9b7b3,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/Fire-Silhouette.png,outlines,outlines_gt,,,,,,
fish-tropical,30,1.0,1.0,"[{'x': 0.05108272084742718, 'y': 0.4362299289012501, 'order': 1}, {'x': 0.061275860687810255, 'y': 0.5343832301444307, 'order': 2}, {'x': 0.09139316112018372, 'y': 0.6280532859298311, 'order': 3}, {'x': 0.1587118323808211, 'y': 0.5852305795722257, 'order': 4}, {'x': 0.21728398847581148, 'y': 0.5113871426205175, 'order': 5}, {'x': 0.20431828851737632, 'y': 0.6091763450349816, 'order': 6}, {'x': 0.19885759383845944, 'y': 0.7076730370663894, 'order': 7}, {'x': 0.2131977872647569, 'y': 0.7756318523728001, 'order': 8}, {'x': 0.31118099644569697, 'y': 0.785675615379062, 'order': 9}, {'x': 0.4096452807475536, 'y': 0.7780942043478838, 'order': 10}, {'x': 0.5078676479948685, 'y': 0.7678552737245415, 'order': 11}, {'x': 0.6021335128878456, 'y': 0.73814278677577, 'order': 12}, {'x': 0.6902821817845757, 'y': 0.6946940866299933, 'order': 13}, {'x': 0.7555657572128097, 'y': 0.6214439300747555, 'order': 14}, {'x': 0.7869158030449747, 'y': 0.5286066158308769, 'order': 15}, {'x': 0.8417656229562605, 'y': 0.44868431952520954, 'order': 16}, {'x': 0.9267854731228136, 'y': 0.4010222521832361, 'order': 17}, {'x': 0.9347271302824114, 'y': 0.36499439117700544, 'order': 18}, {'x': 0.8382529996491336, 'y': 0.35169949416026247, 'order': 19}, {'x': 0.7554947684677592, 'y': 0.29835775938620174, 'order': 20}, {'x': 0.6659120419904958, 'y': 0.25986305946986077, 'order': 21}, {'x': 0.5677815921346003, 'y': 0.24806051839678844, 'order': 22}, {'x': 0.46965114227870497, 'y': 0.23625797732371612, 'order': 23}, {'x': 0.3715206924228096, 'y': 0.2244554362506438, 'order': 24}, {'x': 0.2736205886053842, 'y': 0.2169007445186635, 'order': 25}, {'x': 0.18652046052966093, 'y': 0.2554489942582101, 'order': 26}, {'x': 0.18129532200129628, 'y': 0.34648361483051077, 'order': 27}, {'x': 0.23172579041318464, 'y': 0.4259376056325028, 'order': 28}, {'x': 0.16469894406332047, 'y': 0.4031172577313212, 'order': 29}, {'x': 0.07796607219629785, 'y': 0.3557221725177614, 'order': 30}]",b07668d2-adae-4458-91a7-cf3870e426b5,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/fish-tropical.png,outlines,outlines_gt,,,,,,
Retro-Floral-Butterfly-Silhouette,30,1.0,1.0,"[{'x': 0.06561983069629414, 'y': 0.7584165629009932, 'order': 1}, {'x': 0.10669229179766253, 'y': 0.6003566392467898, 'order': 2}, {'x': 0.2361341872541703, 'y': 0.5316942844618555, 'order': 3}, {'x': 0.17883351334091555, 'y': 0.45419744829074077, 'order': 4}, {'x': 0.1629878417580982, 'y': 0.3045863847385084, 'order': 5}, {'x': 0.21276359006259984, 'y': 0.14953306735823105, 'order': 6}, {'x': 0.34531000371896275, 'y': 0.1475880751073522, 'order': 7}, {'x': 0.4211193723970659, 'y': 0.29195429984648114, 'order': 8}, {'x': 0.47530150425652984, 'y': 0.4465299548521071, 'order': 9}, {'x': 0.519634647516061, 'y': 0.3779706175364975, 'order': 10}, {'x': 0.5557888088734526, 'y': 0.36330220954498627, 'order': 11}, {'x': 0.6149828158720358, 'y': 0.21092705094746125, 'order': 12}, {'x': 0.7303750481819092, 'y': 0.10715188357147597, 'order': 13}, {'x': 0.8193728190084588, 'y': 0.23174144125380977, 'order': 14}, {'x': 0.8484867782727005, 'y': 0.39265410300427483, 'order': 15}, {'x': 0.7514583486475225, 'y': 0.509284885653204, 'order': 16}, {'x': 0.84813968375612, 'y': 0.5456690446672365, 'order': 17}, {'x': 0.911916993778643, 'y': 0.6859839045437732, 'order': 18}, {'x': 0.9469030844311648, 'y': 0.8432138745498713, 'order': 19}, {'x': 0.8101548587129478, 'y': 0.874752980130191, 'order': 20}, {'x': 0.6674355624926354, 'y': 0.7949688519482779, 'order': 21}, {'x': 0.5665916297198398, 'y': 0.6680138752842415, 'order': 22}, {'x': 0.5207251591564193, 'y': 0.6429370228181165, 'order': 23}, {'x': 0.5523518617684764, 'y': 0.729866609409569, 'order': 24}, {'x': 0.4761401317058843, 'y': 0.6582271435684319, 'order': 25}, {'x': 0.44986442538404864, 'y': 0.7112003448131873, 'order': 26}, {'x': 0.47093792461257444, 'y': 0.6045608837409876, 'order': 27}, {'x': 0.38242304977937597, 'y': 0.7417301137340252, 'order': 28}, {'x': 0.255764223242391, 'y': 0.8435398088695382, 'order': 29}, {'x': 0.10196880386294287, 'y': 0.8929626850831708, 'order': 30}]",9c744342-5478-4c3a-9899-9412df152e98,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/Retro-Floral-Butterfly-Silhouette.png,outlines,outlines_gt,,,,,,
bottle-longneck,30,1.0,1.0,"[{'x': 0.3873612763262596, 'y': 0.4879105485426486, 'order': 1}, {'x': 0.38786402602678755, 'y': 0.41792262115014134, 'order': 2}, {'x': 0.3883667757273155, 'y': 0.34793469375763425, 'order': 3}, {'x': 0.3888695254278434, 'y': 0.2779467663651269, 'order': 4}, {'x': 0.38937227512837136, 'y': 0.20795883897261963, 'order': 5}, {'x': 0.3898750248288993, 'y': 0.13797091158011232, 'order': 6}, {'x': 0.39568768607201343, 'y': 0.06853044970162324, 'order': 7}, {'x': 0.46324567891199075, 'y': 0.0534494133570257, 'order': 8}, {'x': 0.5332065018339481, 'y': 0.05143794771158983, 'order': 9}, {'x': 0.598920752661298, 'y': 0.06803441988212791, 'order': 10}, {'x': 0.6100825997119153, 'y': 0.1356826891945915, 'order': 11}, {'x': 0.6105996536404327, 'y': 0.20567051237259326, 'order': 12}, {'x': 0.6111167075689501, 'y': 0.27565833555059516, 'order': 13}, {'x': 0.6116337614974675, 'y': 0.34564615872859694, 'order': 14}, {'x': 0.6121508154259849, 'y': 0.4156339819065987, 'order': 15}, {'x': 0.6126678693545022, 'y': 0.4856218050846005, 'order': 16}, {'x': 0.6086222618761647, 'y': 0.5551034206356977, 'order': 17}, {'x': 0.5805339588927482, 'y': 0.618749008987741, 'order': 18}, {'x': 0.5595823898672115, 'y': 0.6840567013218645, 'order': 19}, {'x': 0.5544684592971795, 'y': 0.7538593549396542, 'order': 20}, {'x': 0.5493545287271475, 'y': 0.823662008557444, 'order': 21}, {'x': 0.5529302866746726, 'y': 0.8913841625000876, 'order': 22}, {'x': 0.5350923018343178, 'y': 0.9479004342736564, 'order': 23}, {'x': 0.4651962530380487, 'y': 0.94794322474336, 'order': 24}, {'x': 0.4433991509817582, 'y': 0.8918798969208729, 'order': 25}, {'x': 0.44917151830996455, 'y': 0.826217837437412, 'order': 26}, {'x': 0.4438133906728676, 'y': 0.7564335039077092, 'order': 27}, {'x': 0.43845526303577065, 'y': 0.6866491703780062, 'order': 28}, {'x': 0.4191438415144927, 'y': 0.6209067312659335, 'order': 29}, {'x': 0.3905391969403073, 'y': 0.55743418112785, 'order': 30}]",1ff49a07-1373-4b3e-90fa-8afa66cddc88,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/bottle-longneck.png,outlines,outlines_gt,,,,,,
apple,30,1.0,1.0,"[{'x': 0.051799651969598855, 'y': 0.5899962014429944, 'order': 1}, {'x': 0.06562559215106603, 'y': 0.4991064711606462, 'order': 2}, {'x': 0.08642425838787682, 'y': 0.4102331221624188, 'order': 3}, {'x': 0.12324275084859232, 'y': 0.3259924057266016, 'order': 4}, {'x': 0.17020340091507685, 'y': 0.24816035387169794, 'order': 5}, {'x': 0.2304795025274399, 'y': 0.17874211947240184, 'order': 6}, {'x': 0.30536360225824755, 'y': 0.12722169695280536, 'order': 7}, {'x': 0.3952135066184611, 'y': 0.12032493467355763, 'order': 8}, {'x': 0.48432253045769585, 'y': 0.1429453140496471, 'order': 9}, {'x': 0.5734496074641073, 'y': 0.12822157645202223, 'order': 10}, {'x': 0.6630434332970206, 'y': 0.12078471992007218, 'order': 11}, {'x': 0.746572064494795, 'y': 0.15649794145794507, 'order': 12}, {'x': 0.8086084652922185, 'y': 0.22375966879192927, 'order': 13}, {'x': 0.8638145546707522, 'y': 0.296381434282906, 'order': 14}, {'x': 0.9006335696483074, 'y': 0.38062192234406395, 'order': 15}, {'x': 0.9295142271830247, 'y': 0.4671580689889916, 'order': 16}, {'x': 0.943340340188239, 'y': 0.558047772981614, 'order': 17}, {'x': 0.941186742675644, 'y': 0.648657349878578, 'order': 18}, {'x': 0.9228818188143486, 'y': 0.7384156283159106, 'order': 19}, {'x': 0.8660534925892358, 'y': 0.8106834706190513, 'order': 20}, {'x': 0.7874911110228925, 'y': 0.8555432468793501, 'order': 21}, {'x': 0.6994113313462725, 'y': 0.8775600008445253, 'order': 22}, {'x': 0.6081537392307316, 'y': 0.8827781276384048, 'order': 23}, {'x': 0.517154480332215, 'y': 0.8696924647732591, 'order': 24}, {'x': 0.4261244695087512, 'y': 0.8685512568591007, 'order': 25}, {'x': 0.3350590373104808, 'y': 0.8811681800673055, 'order': 26}, {'x': 0.24421834457165137, 'y': 0.8670236321625788, 'order': 27}, {'x': 0.16109170272546597, 'y': 0.8287133276560431, 'order': 28}, {'x': 0.09858672947466353, 'y': 0.7633692288921633, 'order': 29}, {'x': 0.0653395647237463, 'y': 0.6803104009003442, 'order': 30}]",7761145b-30a8-4879-b947-4b9240af9a2c,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/apple.png,outlines,outlines_gt,,,,,,
Mustache-Silhouette-3,30,1.0,1.0,"[{'x': 0.0518762480538447, 'y': 0.6926205218028041, 'order': 1}, {'x': 0.07022797782340133, 'y': 0.7870053649098626, 'order': 2}, {'x': 0.07390146412988581, 'y': 0.6906597617769431, 'order': 3}, {'x': 0.10089684163212903, 'y': 0.5983698319022048, 'order': 4}, {'x': 0.1466171844377968, 'y': 0.5143699508503756, 'order': 5}, {'x': 0.21259824667138863, 'y': 0.44544973556626016, 'order': 6}, {'x': 0.2940873710040209, 'y': 0.3945096334457993, 'order': 7}, {'x': 0.3867276707000957, 'y': 0.36842221050952395, 'order': 8}, {'x': 0.48315467208004304, 'y': 0.37247035332173434, 'order': 9}, {'x': 0.5754190640509953, 'y': 0.3977655619151475, 'order': 10}, {'x': 0.6563907578739068, 'y': 0.4497166138490747, 'order': 11}, {'x': 0.7062387217720435, 'y': 0.5008175124730135, 'order': 12}, {'x': 0.7613114708605394, 'y': 0.580155429090052, 'order': 13}, {'x': 0.8163842199490353, 'y': 0.6594933457070906, 'order': 14}, {'x': 0.8839811721982749, 'y': 0.7232409390375936, 'order': 15}, {'x': 0.9401092696640699, 'y': 0.6528967486473861, 'order': 16}, {'x': 0.9482249903602941, 'y': 0.5574572753838792, 'order': 17}, {'x': 0.9228711587282641, 'y': 0.4647316052811496, 'order': 18}, {'x': 0.8727974907851935, 'y': 0.3829306132968174, 'order': 19}, {'x': 0.8037486079224059, 'y': 0.3154045851247293, 'order': 20}, {'x': 0.7217571583046307, 'y': 0.26532926078421654, 'order': 21}, {'x': 0.6320561819761246, 'y': 0.23196482569946428, 'order': 22}, {'x': 0.537421190680874, 'y': 0.2159011378724157, 'order': 23}, {'x': 0.4408689373532134, 'y': 0.21817601867101744, 'order': 24}, {'x': 0.3479032769742057, 'y': 0.2439467882068618, 'order': 25}, {'x': 0.26098671513585076, 'y': 0.28474071316588423, 'order': 26}, {'x': 0.18424877649677887, 'y': 0.3426921716496592, 'order': 27}, {'x': 0.12359690737587724, 'y': 0.4174922321451875, 'order': 28}, {'x': 0.08022018451443592, 'y': 0.503360277514635, 'order': 29}, {'x': 0.05593120459305957, 'y': 0.5964355607738816, 'order': 30}]",6f8e47cc-1891-479e-bb31-a79b209937dd,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/Mustache-Silhouette-3.png,outlines,outlines_gt,,,,,,
Beaver-icon,30,1.0,1.0,"[{'x': 0.05312411873165294, 'y': 0.34228090678517553, 'order': 1}, {'x': 0.09074398844815001, 'y': 0.268158877725136, 'order': 2}, {'x': 0.1754591276405066, 'y': 0.2746179673474535, 'order': 3}, {'x': 0.2540343510082672, 'y': 0.3160365381345666, 'order': 4}, {'x': 0.33154004545452165, 'y': 0.35966018577458003, 'order': 5}, {'x': 0.4190685096472167, 'y': 0.36277771360006206, 'order': 6}, {'x': 0.5077036979676435, 'y': 0.3689036674974822, 'order': 7}, {'x': 0.5964773849458054, 'y': 0.36401895296921627, 'order': 8}, {'x': 0.6847942404382018, 'y': 0.37015208426175394, 'order': 9}, {'x': 0.6318127572928837, 'y': 0.41031850379195245, 'order': 10}, {'x': 0.6159728743465382, 'y': 0.4444180272377658, 'order': 11}, {'x': 0.6940716750276035, 'y': 0.474703745746575, 'order': 12}, {'x': 0.7774751397283577, 'y': 0.44381657396076285, 'order': 13}, {'x': 0.8400495829950401, 'y': 0.4165126566065888, 'order': 14}, {'x': 0.7916077816608943, 'y': 0.4840013964143663, 'order': 15}, {'x': 0.8240894623693822, 'y': 0.5274713560254825, 'order': 16}, {'x': 0.8939171260561148, 'y': 0.5796787034214175, 'order': 17}, {'x': 0.9477903804238303, 'y': 0.639253779736332, 'order': 18}, {'x': 0.8757467633212067, 'y': 0.6870750375945953, 'order': 19}, {'x': 0.7931767428649172, 'y': 0.708924091832947, 'order': 20}, {'x': 0.7042807867821417, 'y': 0.7061556451302758, 'order': 21}, {'x': 0.6172694415627229, 'y': 0.7245725153346109, 'order': 22}, {'x': 0.5301631906676278, 'y': 0.7410987147824053, 'order': 23}, {'x': 0.44433273953753677, 'y': 0.722080074003908, 'order': 24}, {'x': 0.3863826239433006, 'y': 0.6553118085437649, 'order': 25}, {'x': 0.34795327607554033, 'y': 0.575395721534829, 'order': 26}, {'x': 0.32752805961682135, 'y': 0.4892621515601196, 'order': 27}, {'x': 0.2810948734345594, 'y': 0.4302249963680824, 'order': 28}, {'x': 0.19240318331052686, 'y': 0.4265236845777259, 'order': 29}, {'x': 0.10664497404298602, 'y': 0.4072634162590787, 'order': 30}]",2e93c223-01bc-4106-989f-8d7af5c251ab,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/Beaver-icon.png,outlines,outlines_gt,,,,,,
hexagram-silhouette,30,1.0,1.0,"[{'x': 0.05004220260330722, 'y': 0.5000149926847837, 'order': 1}, {'x': 0.13995271473520127, 'y': 0.5519474746054261, 'order': 2}, {'x': 0.22994763712244481, 'y': 0.6038799477790981, 'order': 3}, {'x': 0.275, 'y': 0.6817665429193074, 'order': 4}, {'x': 0.275, 'y': 0.7856706709673313, 'order': 5}, {'x': 0.275, 'y': 0.8895747990153556, 'order': 6}, {'x': 0.3649856332690761, 'y': 0.8376508226665585, 'order': 7}, {'x': 0.45497836513603307, 'y': 0.7857145536771313, 'order': 8}, {'x': 0.5449710970029903, 'y': 0.7856853874557335, 'order': 9}, {'x': 0.6349638288699474, 'y': 0.8376216564451607, 'order': 10}, {'x': 0.7249565607369044, 'y': 0.889557925434588, 'order': 11}, {'x': 0.7250000000000001, 'y': 0.7857290211503879, 'order': 12}, {'x': 0.7250000000000001, 'y': 0.6818248931023638, 'order': 13}, {'x': 0.7700007284201017, 'y': 0.6039072137769691, 'order': 14}, {'x': 0.8599934602870585, 'y': 0.5519709447875419, 'order': 15}, {'x': 0.9499861921540156, 'y': 0.5000346757981146, 'order': 16}, {'x': 0.8600303240122433, 'y': 0.4480823855453207, 'order': 17}, {'x': 0.7700468415976729, 'y': 0.39613009283396095, 'order': 18}, {'x': 0.7250028085150745, 'y': 0.31823369466214246, 'order': 19}, {'x': 0.7250084324327106, 'y': 0.2143295667663183, 'order': 20}, {'x': 0.7250140563503469, 'y': 0.11042543887049422, 'order': 21}, {'x': 0.6350213244833898, 'y': 0.1623617078599215, 'order': 22}, {'x': 0.5450285926164327, 'y': 0.21429797684934876, 'order': 23}, {'x': 0.4550358607494756, 'y': 0.2143189496382029, 'order': 24}, {'x': 0.36504312888251855, 'y': 0.1623826806487756, 'order': 25}, {'x': 0.27505039701556144, 'y': 0.11044641165934826, 'order': 26}, {'x': 0.27501405635034676, 'y': 0.21428760858417856, 'order': 27}, {'x': 0.27501405635034676, 'y': 0.3181917366322026, 'order': 28}, {'x': 0.23001051760693098, 'y': 0.39611274585423073, 'order': 29}, {'x': 0.14002636010511904, 'y': 0.44806386926950725, 'order': 30}]",42e70e61-773e-4feb-b74d-23a588099248,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/hexagram-silhouette.png,outlines,outlines_gt,,,,,,
Old-Car-Silhouette,30,1.0,1.0,"[{'x': 0.05507035961520616, 'y': 0.4707411176952538, 'order': 1}, {'x': 0.1105282112082953, 'y': 0.4398652693115685, 'order': 2}, {'x': 0.15900337982155963, 'y': 0.3992923968377646, 'order': 3}, {'x': 0.2255624073989289, 'y': 0.41216384852862836, 'order': 4}, {'x': 0.2692495261012062, 'y': 0.4258798801165344, 'order': 5}, {'x': 0.3408334811812626, 'y': 0.42597519905959125, 'order': 6}, {'x': 0.412417436261319, 'y': 0.42607051800264817, 'order': 7}, {'x': 0.4840013913413754, 'y': 0.42616583694570503, 'order': 8}, {'x': 0.5555853464214318, 'y': 0.4262611558887619, 'order': 9}, {'x': 0.6271693015014881, 'y': 0.4263564748318188, 'order': 10}, {'x': 0.6727487135637134, 'y': 0.40129719810763004, 'order': 11}, {'x': 0.7401470865418738, 'y': 0.41108912955491056, 'order': 12}, {'x': 0.7818568119951219, 'y': 0.4385876638089534, 'order': 13}, {'x': 0.8534363125696564, 'y': 0.4393919076181711, 'order': 14}, {'x': 0.922133609342327, 'y': 0.4506707160613491, 'order': 15}, {'x': 0.9426635028240997, 'y': 0.4832850649203684, 'order': 16}, {'x': 0.9137340435690451, 'y': 0.5282597160441387, 'order': 17}, {'x': 0.8787434607635841, 'y': 0.543734171212646, 'order': 18}, {'x': 0.8071608757745485, 'y': 0.544187201997437, 'order': 19}, {'x': 0.7355782907855133, 'y': 0.5446402327822278, 'order': 20}, {'x': 0.6728661294325876, 'y': 0.569073687421369, 'order': 21}, {'x': 0.6118423108158384, 'y': 0.5999726956478483, 'order': 22}, {'x': 0.540337534912003, 'y': 0.6024148338445507, 'order': 23}, {'x': 0.46876034657159116, 'y': 0.6034036816011286, 'order': 24}, {'x': 0.39777904017114574, 'y': 0.6023872168703439, 'order': 25}, {'x': 0.3383566717061462, 'y': 0.5624716329886786, 'order': 26}, {'x': 0.27346960196126446, 'y': 0.5395893728835154, 'order': 27}, {'x': 0.20191652520693787, 'y': 0.5374848735145733, 'order': 28}, {'x': 0.13036344845261125, 'y': 0.5353803741456312, 'order': 29}, {'x': 0.06235462401920792, 'y': 0.5160099414391428, 'order': 30}]",64197c9d-ad7f-413c-9795-3ce86ae074b0,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/Old-Car-Silhouette.png,outlines,outlines_gt,,,,,,
AnimalSilhouettes2-Squirrel,30,1.0,1.0,"[{'x': 0.057690701963791245, 'y': 0.44510740351219796, 'order': 1}, {'x': 0.16795993971713383, 'y': 0.4518408383294222, 'order': 2}, {'x': 0.10734812174102701, 'y': 0.4971943056103923, 'order': 3}, {'x': 0.10252387594783073, 'y': 0.6070320974555841, 'order': 4}, {'x': 0.1361046671604025, 'y': 0.719043915146693, 'order': 5}, {'x': 0.1762617552400867, 'y': 0.6861731146200833, 'order': 6}, {'x': 0.25423914192120944, 'y': 0.7471025844126439, 'order': 7}, {'x': 0.30195350592811493, 'y': 0.6847073392574877, 'order': 8}, {'x': 0.3431354761728371, 'y': 0.586976110902115, 'order': 9}, {'x': 0.46154705705661775, 'y': 0.5618957459927666, 'order': 10}, {'x': 0.47686942906087326, 'y': 0.6442131546457343, 'order': 11}, {'x': 0.5015975931274779, 'y': 0.7620296500743878, 'order': 12}, {'x': 0.5842090911929668, 'y': 0.8478043780199925, 'order': 13}, {'x': 0.7013840644583703, 'y': 0.8756150418979396, 'order': 14}, {'x': 0.8184480335899531, 'y': 0.8479959393698724, 'order': 15}, {'x': 0.9157182459692097, 'y': 0.7767474869144477, 'order': 16}, {'x': 0.9457264653282916, 'y': 0.6634661947794672, 'order': 17}, {'x': 0.8436873868400615, 'y': 0.6609860483122858, 'order': 18}, {'x': 0.7284720399813709, 'y': 0.6730929983383357, 'order': 19}, {'x': 0.7261442371266056, 'y': 0.5540187054587921, 'order': 20}, {'x': 0.7219406839348316, 'y': 0.4336232425558548, 'order': 21}, {'x': 0.7045066694642761, 'y': 0.3132953849237441, 'order': 22}, {'x': 0.6578249903186506, 'y': 0.2035154667569804, 'order': 23}, {'x': 0.551349340355225, 'y': 0.16375176099755676, 'order': 24}, {'x': 0.48714693700669437, 'y': 0.13746572126376763, 'order': 25}, {'x': 0.4099716119807625, 'y': 0.16025825255177925, 'order': 26}, {'x': 0.3346836934164675, 'y': 0.13887114768923328, 'order': 27}, {'x': 0.32043929029876445, 'y': 0.24337705234739784, 'order': 28}, {'x': 0.24100214426278566, 'y': 0.3280735589458565, 'order': 29}, {'x': 0.1453481128201362, 'y': 0.390242426551874, 'order': 30}]",b3c4000a-2394-436d-b8be-32a6792ab399,/Users/log/Github/sketchvlm/datasets/connect_dots_dataset/outlines_gt/AnimalSilhouettes2-Squirrel.png,outlines,outlines_gt,,,,,,
