model,direct_vqa,paths
GPT-5-low,63.1578947368421,70.32967032967034
GPT-5-low-NEW,0.0,67.67676767676768
GPT-5-med,75.75757575757575,73.73737373737373
GPT-Meta-Grid-VQA,0.0,65.65656565656566
GPT-Meta-NoGrid,0.0,63.26530612244898
Gemini-2.5-Flash,31.958762886597935,55.55555555555556
Gemini-2.5-Pro,44.329896907216494,60.60606060606061
Gemini-3-Pro,84.61538461538461,82.6530612244898
Gemini-3-Pro-0-1000,0.0,87.75510204081633
Gemini-3-Pro-Meta,0.0,78.78787878787878
Gemini-3-Pro-NB,0.0,60.86956521739131
Qwen2.5-7B,22.22222222222222,34.21052631578947
ThinkMorph,0.0,32.6530612244898
ViLaSR,0.0,35.483870967741936
nano_banana_pro,0.0,51.578947368421055
